191	101 143 77 49 78 102 144 50
191	15 117 55 118 56 49 50 13 14 49 16 50
191	3 93 94 105 61 62 4 106
191	11 43 49 41 50 44 227 42 145 228 12 146
191	11 145 227 87 49 63 29 64 21 50 79 30 99 88 109 228 119 22 1 110 100 33 29 120 34 51 12 146 80 2 30 52
191	11 229 49 99 100 67 50 79 230 68 135 80 21 23 136 33 29 24 34 51 22 73 30 27 74 103 12 52 28 104
191	15 5 103 6 23 33 24 34 51 52 33 104 34 16
191	101 141 142 95 96 143 102 144
191	9 10 11 43 33 29 44 45 34 30 46 12
191	231 233 33 234 19 21 20 34 22 232
191	101 83 102 84
191	101 5 3 102 6 4
191	15 13 14 16
191	15 29 23 95 30 96 31 141 32 29 24 81 30 99 129 82 16 142 100 130
191	15 5 73 6 23 24 33 34 74 16
191	33 11 34 51 105 141 52 63 21 22 83 64 12 106 142 84
191	21 15 29 49 30 50 31 71 51 22 32 73 29 75 76 30 77 78 29 72 49 50 13 14 79 30 31 80 13 32 14 29 79 52 33 80 13 30 77 74 14 78 29 81 34 30 27 28 82 16
195	3 203 53 129 213 204 54 130 214 63 135 119 4 64 136 120
195	11 35 149 77 45 12 46 36 78 150
195	43 41 95 93 96 241 94 105 42 53 101 44 45 54 106 242 102 46
195	3 5 41 43 31 42 53 44 51 45 54 46 135 119 4 6 32 52 136 120
195	3 4
195	87 7 107 43 8 63 41 88 3 108 44 45 5 42 53 6 225 46 54 64 4 226
195	69 41 37 203 42 53 54 135 204 119 70 38 136 120
195	3 5 101 179 102 4 6 180
195	3 5 97 69 9 175 70 10 33 101 34 102 193 194 176 98 129 6 130 23 24 4
195	11 49 29 37 135 21 50 136 39 211 22 30 212 12 38 40
195	11 53 23 91 24 92 65 54 41 147 49 66 42 148 50 39 43 40 12 44
195	69 37 39 43 41 44 203 42 53 204 119 40 13 54 135 70 63 61 120 64 38 14 136 62
195	3 105 53 169 7 99 13 170 100 14 5 106 6 4 54 8
195	11 3 127 128 129 130 12 4
195	3 5 29 30 27 21 9 28 67 68 22 10 11 29 30 12 4 6
195	29 3 21 5 43 22 83 30 99 201 202 41 44 45 84 81 82 42 53 6 49 50 225 237 54 135 169 136 4 100 46 226 238 170
195	11 69 29 41 42 53 43 30 77 44 45 70 54 46 12 78
195	7 29 95 129 8 96 63 17 18 19 20 41 130 43 30 31 64 42 53 225 44 32 226 54
195	97 53 203 98 93 54 94 105 204 106
195	3 1 7 2 21 49 22 9 50 10 11 4 8 12
195	67 101 68 102
195	3 53 105 7 8 63 31 43 107 44 203 106 64 108 129 49 204 119 130 50 5 4 54 32 120 6
195	29 3 5 137 215 33 30 31 138 239 34 25 216 240 189 4 6 32 26 190
195	3 63 21 9 22 10 11 64 43 49 50 5 41 44 42 53 12 193 194 6 54 4
195	3 5 97 11 6 4 98 12
195	33 29 3 5 6 43 49 34 30 51 31 50 107 44 203 93 108 49 52 33 204 50 115 215 41 43 94 97 98 129 34 69 42 44 53 45 130 216 54 135 116 46 119 49 70 63 50 5 4 32 136 120 64 6
195	11 41 43 95 96 12 42 44
195	97 175 63 135 98 176 129 136 64 130
195	3 107 149 45 108 49 50 5 150 4 6 46
195	11 41 42 12
199	41 55 5 97 139 42 145 147 148 146 135 6 98 129 49 56 140 59 141 142 50 60 130 136
199	37 103 39 29 33 104 81 41 43 11 30 27 82 12 44 45 34 42 28 25 53 38 46 40 26 54
199	29 30 31 69 41 42 53 54 32 70
199	29 139 140 69 30 70
199	37 41 42 38
199	37 29 33 41 101 30 27 34 42 25 53 28 26 102 54 38
199	37 39 41 42 145 139 140 146 135 136 40 49 38 50
199	37 33 34 41 43 42 53 44 38 54
203	7 37 49 43 9 10 11 50 39 44 12 193 38 40 8 194
203	1 43 49 50 39 44 2 21 22 41 42 40
209	25 49 37 50 39 29 21 26 33 40 23 75 30 24 76 31 249 22 34 69 73 49 70 50 39 32 38 250 74 40
209	37 39 117 207 1 208 59 118 7 60 8 63 125 209 126 64 210 2 40 38
209	37 49 38 50
209	61 62
209	163 79 164 80
209	33 31 103 34 7 127 8 104 128 32
209	21 185 22 199 186 200
209	37 49 50 21 39 41 27 125 22 42 126 40 28 29 135 38 30 136
209	91 139 55 56 127 92 140 128
209	185 5 69 186 6 39 87 70 40 88
209	159 160
209	37 41 23 42 24 29 61 62 13 14 38 30
209	159 105 106 29 137 175 41 61 30 27 28 29 138 176 30 77 42 62 78 160
209	135 136 169 39 170 40
209	87 88
210	105 55 106 129 56 59 130 60
210	37 29 85 30 27 7 39 8 33 86 34 28 38 40
210	33 41 37 163 34 42 164 38
210	63 77 21 47 22 39 78 40 64 48
210	37 7 47 8 33 34 38 48
210	37 169 75 49 170 50 139 76 55 56 140 38
210	29 137 30 138
218	43 33 29 44 34 30
218	31 161 39 162 147 40 32 148
218	37 39 61 29 30 40 62 38
218	37 163 47 164 48 38
218	67 11 147 93 227 49 68 148 94 50 225 97 29 91 30 27 226 49 92 28 98 50 228 12
